sample_id	raw_file_name	quant_type	source_column	plate	well	replicate_letter	ip_name	bait_name	condition	is_control	replicate_group	keep	notes
b14462	b14462.raw	Intensity	Intensity b14462	81033PEI	G09	B	b14462	RGS5	81033PEI	N	RGS5__81033PEI	Y	auto_filled_from_archiveSummary
b14463	b14463.raw	Intensity	Intensity b14463	81033PEI	G08	B	b14463	C9orf23	81033PEI	N	C9orf23__81033PEI	Y	auto_filled_from_archiveSummary
b14467	b14467.raw	Intensity	Intensity b14467	81033PEI	G04	B	b14467	IL7	81033PEI	N	IL7__81033PEI	Y	auto_filled_from_archiveSummary
b14468	b14468.raw	Intensity	Intensity b14468	81033PEI	G03	B	b14468	HINT2	81033PEI	N	HINT2__81033PEI	Y	auto_filled_from_archiveSummary
b14472	b14472.raw	Intensity	Intensity b14472	81033PEI	H02	A	b14472	AVPI1	81033PEI	N	AVPI1__81033PEI	Y	auto_filled_from_archiveSummary
b14473	b14473.raw	Intensity	Intensity b14473	81033PEI	H03	A	b14473	NUDT10	81033PEI	N	NUDT10__81033PEI	Y	auto_filled_from_archiveSummary
b14475	b14475.raw	Intensity	Intensity b14475	81033PEI	H05	A	b14475	SRSF2	81033PEI	N	SRSF2__81033PEI	Y	auto_filled_from_archiveSummary
b14476	b14476.raw	Intensity	Intensity b14476	81033PEI	H06	A	b14476	TTC9C	81033PEI	N	TTC9C__81033PEI	Y	auto_filled_from_archiveSummary
b14477	b14477.raw	Intensity	Intensity b14477	81033PEI	H07	A	b14477	MGST2	81033PEI	N	MGST2__81033PEI	Y	auto_filled_from_archiveSummary
b14478	b14478.raw	Intensity	Intensity b14478	81033PEI	H08	A	b14478	RNASEH2C	81033PEI	N	RNASEH2C__81033PEI	Y	auto_filled_from_archiveSummary
b14479	b14479.raw	Intensity	Intensity b14479	81033PEI	H09	A	b14479	CALCA	81033PEI	N	CALCA__81033PEI	Y	auto_filled_from_archiveSummary
b14480	b14480.raw	Intensity	Intensity b14480	81033PEI	H10	A	b14480	GIP	81033PEI	N	GIP__81033PEI	Y	auto_filled_from_archiveSummary
b14481	b14481.raw	Intensity	Intensity b14481	81033PEI	H11	A	b14481	DLX6	81033PEI	N	DLX6__81033PEI	Y	auto_filled_from_archiveSummary
b14518	b14518.raw	Intensity	Intensity b14518	81033PEI	H11	B	b14518	DLX6	81033PEI	N	DLX6__81033PEI	Y	auto_filled_from_archiveSummary
b14519	b14519.raw	Intensity	Intensity b14519	81033PEI	H10	B	b14519	GIP	81033PEI	N	GIP__81033PEI	Y	auto_filled_from_archiveSummary
b14521	b14521.raw	Intensity	Intensity b14521	81033PEI	H08	B	b14521	RNASEH2C	81033PEI	N	RNASEH2C__81033PEI	Y	auto_filled_from_archiveSummary
