b14417	C9orf85
b14422	OMP
b14424	C6orf136
b14425	MRPL23
b14426	UBL4B
b14427	SIN3A
b14428	MORN4
b14429	CGGBP1
b14430	SPRYD7
b14432	OTUD3
b14435	IL20
b14437	CST5
b14438	FGFR1OP2
b14439	MTRF1
b14440	HBXIP
b14441	NINJ2
b14444	C2orf73
b14445	IRGM
b14446	MYH7B
b14447	LMO1
b14448	CST8
b14450	STAG3L4
b14451	CDKN3
b14453	SPCS3
b14454	IQCF2
b14455	SSBP1
b14456	FAM9C
b14457	C1orf146
b14461	CRYAA
b14462	RGS5
b14463	C9orf23
b14467	IL7
b14468	HINT2
b14472	AVPI1
b14473	NUDT10
b14475	SRSF2
b14476	TTC9C
b14477	MGST2
b14478	RNASEH2C
b14479	CALCA
b14480	GIP
b14481	DLX6
b14518	DLX6
b14519	GIP
b14521	RNASEH2C
b14522	MGST2
b14523	TTC9C
b14524	SRSF2
b14526	NUDT10
b15935	SEP15
b15939	C16orf74
b18290	SREBF2
b18291	PICK1
b18293	SHOX
b18294	STRA8
b18295	CARD16
b18299	SLC5A1
b18302	DEFB109
b18303	SPANXN2
b18304	DEFB112
b18305	PREX2
b18306	CAPN12
b18309	UBE2L3
b18310	SNRPD3
b18311	SEZ6L
b18312	FAM150B
b18313	ESCO2
b18314	IGFBPL1
b18315	HSF4
b18317	CLCA1
b18319	FOLR3
b18369	PLA2G6
b18370	AP1B1
b18371	TST
b18372	ENPP3
b18373	SPRR2D
b18374	AWAT2
b18375	GPR151
b18377	HOXA7
b18378	XKRY2
b18381	YWHAH
b18383	CDCP2
b18384	SLC5A4
b18386	GUCA2A
b18387	PROL1
b18389	GJA10
b18390	TAS1R2
b18394	RFPL1
b18396	CNGA1
b18397	LIFR
b18404	CUX2
b18405	MYEOV2
b18406	SSX7
b18407	SPINK14
b18409	NLRP5
b18414	OR4N2
b18415	VPS9D1
b18416	UGT1A5
b18418	OR4E2
b18419	B3GNT7
b18420	GALP
b18564	FAM178A
b18565	LPIN2
b18566	ZFP1
b18567	HOXA4
b18568	GLCE
b18576	CRISP1
b18577	SPAG11B
b18578	DCDC1
b18595	TEX13B
b18596	TTC39A
b18597	CRLF2
b18598	MATN1
b18600	FBXW9
b18601	BMP6
b18640	SLC45A4
b18641	LEPR
b18642	EIF2C4
b18643	C1QL3
b18644	ZFP42
b18645	KLRC3
b18647	ANKS4B
b18649	LHB
b18652	EXOC6B
b18653	KIAA0226
b18654	RUNX2
b18655	TCF15
b18656	ZNF492
b18657	AS3MT
b18658	HPR
b18659	LBX2
b18660	TAS2R39
b18662	C16orf55
b18665	GBX1
b18666	PRKD1
b18671	PKMYT1
b18672	TAL1
b18673	CCNO
b18674	TSHZ2
b18675	NPVF
b18676	NAA11
b18677	UBXN7
b18678	FMNL3
b18696	ERCC4
B20854	KRT34
B20855	TSPAN10
B20857	RPEL1
B20859	CCT8L2
B20860	BANF2
B20861	GPR160
B20862	KCNIP1
B20865	PRKY
B20866	STARD5
B20869	LHFPL1
B20870	OR52B2
B20871	PRR4
B20872	FAM81A
B20875	OR14J1
B20876	LMOD3
B20877	OR6T1
B20879	CHRNA7
B20881	LIN52
B20882	CTXN1
B20883	LGI1
B20885	OR2T33
B20888	PIP5K1B
B20889	OR14I1
B20890	GMCL1L
B20892	FAM27E3
B20893	MAFB
B20894	TCEA1
B20896	C11orf10
B20897	C6orf94
B20898	ATP5L2
B20903	CACNG1
B20904	OR1M1
B20905	DPF1
B20906	OR2M7
B20907	PTX3
B20908	PPCS
B20909	UFSP1
B20911	KLRC2
B20913	ADPRHL2
B20915	DUXAP10
B20916	NEUROD4
B20917	OR4N4
B20918	OR8A1
B20920	CHRM5
B20922	LRRC37A2
B20924	KLRK1
B20925	OR11H12
B20926	CAB39
B20930	OR51B5
B20931	RXRB
b3139	LMX1B
b3140	ZDHHC9
b3141	USP46
b3142	INHA
b3143	RIC3
b3144	MAB21L3
b3147	PSRC1
b3154	POPDC2
b3157	TSSK1B
b3158	CXCR7
b3165	RAE1
b3168	NXF5
b3169	CDCA7
b3170	FKSG43
b3194	NHLRC2
b3197	EBNA1BP2
b3200	C20orf96
b3201	HTR1E
b3207	HTR1E
b3208	C20orf96
b3212	EBNA1BP2
b3532	C7orf46
b3535	NIT2
b3536	SNAI3
b3539	CNOT7
b3541	STX5
b3563	VDAC2
b3564	TRAPPC10
b3566	RPRD1A
b3568	TNFSF13B
b3569	PTCRA
b3570	SPATS1
b3572	CSGALNACT1
b3573	CEBPE
b3579	CTSZ
b3580	STARD10
b3581	C15orf29
b3582	FBXO6
b3585	CAPZA2
b3586	AMMECR1
b3587	CCDC121
b3591	SYNE2
b3592	EFCAB4A
b3594	CCNE2
b3595	IYD
b3596	RAB40AL
b3599	FAM175A
b3604	ITGA4
b3605	RASSF6
b3606	WDR92
b3607	CCDC146
b3608	POPDC3
b3609	ZNF277
b3613	SETD3
b3614	NOSIP
b3615	CNN1
b3624	EXOSC8
b3625	EDA2R
b3626	XRCC2
b3628	SGCD
b3629	COLEC10
b3630	F3
b3631	KIAA0247
b3632	PPAP2A
b3637	TBC1D3F
b3638	FBXO25
b3639	CXorf21
b3640	GTDC1
b3643	ODF3L1
b3653	C3orf32
b3654	GLYATL1
b3656	HSD17B11
b3657	MRPL46
b3658	ZC3H8
b3669	DHRS2
b3670	C19orf46
b3671	HNMT
b3673	GGPS1
b3674	LDB3
b3676	GK5
b3799	CLN8
b3800	ELOVL2
b3801	C3orf32
b5698	FBXL3
b5701	KIAA1949
b5702	SLC39A4
b5703	RBPJ
b5707	CXADR
b5708	SDF4
b5709	OBFC1
b5714	PVRL3
b5716	SERPINA6
b5717	DNM3
b5718	NUP50
b5719	CD244
b5720	C9orf156
b5721	SMPD1
b5722	KIAA1456
b5723	ZNF707
b5728	USP38
b5729	TRIM16
b5730	MCAM
b5731	CDCA7L
b5732	AHSG
b5734	GABRE
b5735	PSAT1
b5736	PARVA
b5737	HMBS
b5746	FAM188A
b5747	B3GNT3
b5748	DCTN1
b5749	IGSF8
b5751	DLD
b5752	AUP1
b5753	IDH3A
b5754	ARPC1A
b5756	USP18
b5763	MMRN1
b5764	PPARD
b5765	MYT1
b5766	PABPC5
b5767	ANKRD16
b5769	TTC23L
b5770	SDC3
b5771	GRINL1A
b5776	PRKAR2B
b5777	GPR52
b5778	HLA-B
b5779	LMNA
b5780	GMPR2
b5781	PNMA2
b5783	POGZ
b5784	GLUL
b5785	H2AFY2
b5789	CLEC18A
b5791	PHF15
b5792	DNAJC11
b5793	ARHGEF10
b5794	RSAD2
b5795	PARD6B
b5796	CREB3
b5797	LIPT1
b5798	HLA-C
b5803	ADH1C
b5804	DZIP3
b5805	TEAD4
b5806	NT5E
b5807	C8orf45
b5808	VASP
b5809	GPR183
b5810	PEX3
b5811	SLC35C1
b5812	SSBP2
b8578	TBL1Y
b8579	ZMYND11
b8580	ZNF238
b8581	SNX1
b8582	POLE2
b8583	ZNF449
b8584	DYNC1LI1
b8585	VANGL1
b8586	CYP4F12
b8587	TNK2
b8588	DYRK4
b8589	DPYS
b8593	TIGD6
b8594	FBXW11
b8595	PLXNA4
b8597	CAT
b8598	TMEM209
b8599	FAM98A
b8600	NAB2
b8601	ATP5B
b8603	MARCO
b8604	TCP11L2
b8608	PDE4D
b8609	FLVCR2
