oldName	newName	info	oldFileSize	newFileSize	fileExists	fileCopied
b10673_81129_C09_A_00129_071614_17840.raw	b10673.raw	"Bait:SMPD4 (81129, C09)"	207969575	207969575	1	1
j11770_81129_C09_B_00129_071714_17941.raw	j11770.raw	"Bait:SMPD4 (81129, C09)"	214600708	214600708	1	1
j11800_81129_F10_A_00129_071814_18012.raw	j11800.raw	"Bait:SMURF2 (81129, E10)"	200158338	200158338	1	1
b10765_81129_F10_B_00129_072014_18096.raw	b10765.raw	"Bait:SMURF2 (81129, E10)"	185933438	185933438	1	1
b10750_81129_G11_B_00129_072014_18070.raw	b10750.raw	"Bait:SNRK (81129, G11)"	198053780	198053780	1	1
q9672_81129_G11_C_00129_082214_19448.raw	q9672.raw	"Bait:SNRK (81129, G11)"	156297019	156297019	1	1
j11741_81129_A02_A_00129_071614_17745.raw	j11741.raw	"Bait:SPAST (81129, A02)"	223225774	223225774	1	1
b10701_81129_A02_B_00129_071714_17958.raw	b10701.raw	"Bait:SPAST (81129, A02)"	201327468	201327468	1	1
j11749_81129_A10_A_00129_071614_17841.raw	j11749.raw	"Bait:SPATA20 (81129, A10)"	204391490	204391490	1	1
b10693_81129_A10_B_00129_071714_17936.raw	b10693.raw	"Bait:SPATA20 (81129, A10)"	188236887	188236887	1	1
j11764_81129_B11_A_00129_071614_17928.raw	j11764.raw	"Bait:SPATA5L1 (81129, B11)"	224340113	224340113	1	1
b10708_81129_B11_B_00129_071814_17970.raw	b10708.raw	"Bait:SPATA5L1 (81129, B11)"	230097522	230097522	1	1
b10667_81129_C02_A_00129_071614_17749.raw	b10667.raw	"Bait:SPPL2B (81129, C02)"	184465246	184465246	1	1
j11776_81129_C02_B_00129_071714_17957.raw	j11776.raw	"Bait:SPPL2B (81129, C02)"	214353049	214353049	1	1
j11758_81129_B05_A_00129_071614_17911.raw	j11758.raw	"Bait:STIM2 (81129, B05)"	197560801	197560801	1	1
b10714_81129_B05_B_00129_071814_17986.raw	b10714.raw	"Bait:STIM2 (81129, B05)"	195660081	195660081	1	1
b10723_81129_H03_A_00129_071814_18009.raw	b10723.raw	"Bait:SUGP1 (81129, H03)"	185167153	185167153	1	1
q9102_81129_H03_B_00129_072014_18097.raw	q9102.raw	"Bait:SUGP1 (81129, H03)"	180485734	180485734	1	1
b10729_81129_H09_A_00129_071814_18025.raw	b10729.raw	"Bait:SUZ12 (81129, H09)"	197750044	197750044	1	1
q9096_81129_H09_B_00129_072014_18085.raw	q9096.raw	"Bait:SUZ12 (81129, H09)"	191853482	191853482	1	1
b10728_81129_H08_A_00129_071814_18022.raw	b10728.raw	"Bait:SV2C (81129, H08)"	194700422	194700422	1	1
q9097_81129_H08_B_00129_072014_18087.raw	q9097.raw	"Bait:SV2C (81129, H08)"	191116573	191116573	1	1
b10682_81129_D05_A_00129_071614_17859.raw	b10682.raw	"Bait:TBC1D25 (81129, D05)"	185850579	185850579	1	1
q9039_81129_D05_B_00129_071714_17962.raw	q9039.raw	"Bait:TBC1D25 (81129, D05)"	181961563	181961563	1	1
j11809_81129_G05_A_00129_071814_18034.raw	j11809.raw	"Bait:TGM3 (81129, G05)"	182967390	182967390	1	1
b10756_81129_G05_B_00129_072014_18081.raw	b10756.raw	"Bait:TGM3 (81129, G05)"	191568691	191568691	1	1
b10672_81129_C08_A_00129_071614_17762.raw	b10672.raw	"Bait:TGM5 (81129, C08)"	192988445	192988445	1	1
j11771_81129_C08_B_00129_071714_17944.raw	j11771.raw	"Bait:TGM5 (81129, C08)"	205611120	205611120	1	1
j11750_81129_A11_A_00129_071614_17843.raw	j11750.raw	"Bait:TPCN2 (81129, A11)"	210389305	210389305	1	1
b10692_81129_A11_B_00129_071714_17932.raw	b10692.raw	"Bait:TPCN2 (81129, A11)"	193947027	193947027	1	1
b10685_81129_D08_A_00129_071614_17917.raw	b10685.raw	"Bait:C9orf3 (81129, D08)"	195022524	195022524	1	1
q9036_81129_D08_B_00129_071714_17952.raw	q9036.raw	"Bait:C9orf3 (81129, D08)"	186580430	186580430	1	1
b10684_81129_D07_A_00129_071614_17915.raw	b10684.raw	"Bait:ZBTB39 (81129, D07)"	190224464	190224464	1	1
q9037_81129_D07_B_00129_071714_17956.raw	q9037.raw	"Bait:ZBTB39 (81129, D07)"	185685179	185685179	1	1
q9085_81129_E08_B_00129_072014_18066.raw	q9085.raw	"Bait:ZFY (81129, E08)"	203273639	203273639	1	1
q9659_81129_E08_C_00129_082214_19434.raw	q9659.raw	"Bait:ZFY (81129, E08)"	159565207	159565207	1	1
j11742_81129_A03_A_00129_071614_17748.raw	j11742.raw	"Bait:ZNF30 (81129, A03)"	222689784	222689784	1	1
b10700_81129_A03_B_00129_071714_17954.raw	b10700.raw	"Bait:ZNF30 (81129, A03)"	203244308	203244308	1	1
b10757_81129_G04_B_00129_072014_18082.raw	b10757.raw	"Bait:ZNF311 (81129, G04)"	199872570	199872570	1	1
q9668_81129_G04_C_00129_082214_19444.raw	q9668.raw	"Bait:ZNF311 (81129, G04)"	170208195	170208195	1	1
j11787_81129_E06_A_00129_071814_17978.raw	j11787.raw	"Bait:CAPN8 (81129, E06)"	190680436	190680436	1	1
q9086_81129_E06_B_00129_072014_18067.raw	q9086.raw	"Bait:CAPN8 (81129, E06)"	170717082	170717082	1	1
j11812_81129_G08_A_00129_071814_18042.raw	j11812.raw	"Bait:ADD2 (81129, G08)"	183925853	183925853	1	1
b10753_81129_G08_B_00129_072014_18076.raw	b10753.raw	"Bait:ADD2 (81129, G08)"	186694662	186694662	1	1
b10669_81129_C04_A_00129_071614_17755.raw	b10669.raw	"Bait:CCDC27 (81129, C04)"	194988444	194988444	1	1
j11774_81129_C04_B_00129_071714_17953.raw	j11774.raw	"Bait:CCDC27 (81129, C04)"	223242810	223242810	1	1
j11763_81129_B10_A_00129_071614_17924.raw	j11763.raw	"Bait:CD97 (81129, B10)"	213310275	213310275	1	1
b10709_81129_B10_B_00129_071814_17973.raw	b10709.raw	"Bait:CD97 (81129, B10)"	184962660	184962660	1	1
b10724_81129_H04_A_00129_071814_18010.raw	b10724.raw	"Bait:CDH5 (81129, H04)"	197033532	197033532	1	1
q9101_81129_H04_B_00129_072014_18093.raw	q9101.raw	"Bait:CDH5 (81129, H04)"	187038822	187038822	1	1
b10725_81129_H05_A_00129_071814_18015.raw	b10725.raw	"Bait:CRTC2 (81129, H05)"	192666052	192666052	1	1
q9100_81129_H05_B_00129_072014_18091.raw	q9100.raw	"Bait:CRTC2 (81129, H05)"	185914694	185914694	1	1
j14884_81130_C09_A_00130_123014_24741.raw	j14884.raw	"Bait:ABTB2 (81130, C09)"	208367636	208367636	1	1
q12002_81130_C09_B_00130_010215_24773.raw	q12002.raw	"Bait:ABTB2 (81130, C09)"	167881755	167881755	1	1
j14872_81130_A02_A_00130_123014_24709.raw	j14872.raw	"Bait:ECEL1 (81130, A02)"	196948799	196948799	1	1
q12014_81130_A02_B_00130_010215_24802.raw	q12014.raw	"Bait:ECEL1 (81130, A02)"	177844091	177844091	1	1
q12153_81130_H10_A_00130_010915_25034.raw	q12153.raw	"Bait:EIF2C1 (81130, H10)"	184478596	184478596	1	1
j15092_81130_H10_B_00130_011215_25079.raw	j15092.raw	"Bait:EIF2C1 (81130, H10)"	187288876	187288876	1	1
b13892_81130_E02_A_00130_123014_24716.raw	b13892.raw	"Bait:EPC2 (81130, E02)"	257076740	257076740	1	1
q12026_81130_E02_B_00130_010215_24819.raw	q12026.raw	"Bait:EPC2 (81130, E02)"	175087630	175087630	1	1
j15094_81130_H08_B_00130_011215_25085.raw	j15094.raw	"Bait:ACAP3 (81130, H08)"	178645387	178645387	1	1
j15122_81130_H08_C_00130_011315_25149.raw	j15122.raw	"Bait:ACAP3 (81130, H08)"	175263331	175263331	1	1
b13889_81130_B10_A_00130_123014_24710.raw	b13889.raw	"Bait:GABBR1 (81130, B10)"	219975171	219975171	1	1
