sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b3625	b3625.raw	Intensity	Intensity b3625					Y	
b3626	b3626.raw	Intensity	Intensity b3626					Y	
b3628	b3628.raw	Intensity	Intensity b3628					Y	
b3629	b3629.raw	Intensity	Intensity b3629					Y	
b3630	b3630.raw	Intensity	Intensity b3630					Y	
b3631	b3631.raw	Intensity	Intensity b3631					Y	
b3632	b3632.raw	Intensity	Intensity b3632					Y	
b3637	b3637.raw	Intensity	Intensity b3637					Y	
b3638	b3638.raw	Intensity	Intensity b3638					Y	
b3639	b3639.raw	Intensity	Intensity b3639					Y	
b3640	b3640.raw	Intensity	Intensity b3640					Y	
b3643	b3643.raw	Intensity	Intensity b3643					Y	
b3653	b3653.raw	Intensity	Intensity b3653					Y	
b3654	b3654.raw	Intensity	Intensity b3654					Y	
b3656	b3656.raw	Intensity	Intensity b3656					Y	
b3657	b3657.raw	Intensity	Intensity b3657					Y	
b3658	b3658.raw	Intensity	Intensity b3658					Y	
b3669	b3669.raw	Intensity	Intensity b3669					Y	
b3670	b3670.raw	Intensity	Intensity b3670					Y	
b3671	b3671.raw	Intensity	Intensity b3671					Y	
b3673	b3673.raw	Intensity	Intensity b3673					Y	
b3674	b3674.raw	Intensity	Intensity b3674					Y	
b3676	b3676.raw	Intensity	Intensity b3676					Y	
b3799	b3799.raw	Intensity	Intensity b3799					Y	
b3800	b3800.raw	Intensity	Intensity b3800					Y	
b3801	b3801.raw	Intensity	Intensity b3801					Y	
b5698	b5698.raw	Intensity	Intensity b5698					Y	
b5701	b5701.raw	Intensity	Intensity b5701					Y	
b5702	b5702.raw	Intensity	Intensity b5702					Y	
b5703	b5703.raw	Intensity	Intensity b5703					Y	
b5707	b5707.raw	Intensity	Intensity b5707					Y	
b5708	b5708.raw	Intensity	Intensity b5708					Y	
b5709	b5709.raw	Intensity	Intensity b5709					Y	
b5714	b5714.raw	Intensity	Intensity b5714					Y	
b5716	b5716.raw	Intensity	Intensity b5716					Y	
b5717	b5717.raw	Intensity	Intensity b5717					Y	
b5718	b5718.raw	Intensity	Intensity b5718					Y	
b5719	b5719.raw	Intensity	Intensity b5719					Y	
b5720	b5720.raw	Intensity	Intensity b5720					Y	
b5721	b5721.raw	Intensity	Intensity b5721					Y	
b5722	b5722.raw	Intensity	Intensity b5722					Y	
b5723	b5723.raw	Intensity	Intensity b5723					Y	
b5728	b5728.raw	Intensity	Intensity b5728					Y	
b5729	b5729.raw	Intensity	Intensity b5729					Y	
b5730	b5730.raw	Intensity	Intensity b5730					Y	
b5731	b5731.raw	Intensity	Intensity b5731					Y	
b5732	b5732.raw	Intensity	Intensity b5732					Y	
b5734	b5734.raw	Intensity	Intensity b5734					Y	
b5735	b5735.raw	Intensity	Intensity b5735					Y	
b5736	b5736.raw	Intensity	Intensity b5736					Y	
b5737	b5737.raw	Intensity	Intensity b5737					Y	
b5746	b5746.raw	Intensity	Intensity b5746					Y	
b5747	b5747.raw	Intensity	Intensity b5747					Y	
b5748	b5748.raw	Intensity	Intensity b5748					Y	
b5749	b5749.raw	Intensity	Intensity b5749					Y	
b5751	b5751.raw	Intensity	Intensity b5751					Y	
b5752	b5752.raw	Intensity	Intensity b5752					Y	
b5753	b5753.raw	Intensity	Intensity b5753					Y	
b5754	b5754.raw	Intensity	Intensity b5754					Y	
b5756	b5756.raw	Intensity	Intensity b5756					Y	
b5763	b5763.raw	Intensity	Intensity b5763					Y	
b5764	b5764.raw	Intensity	Intensity b5764					Y	
b5765	b5765.raw	Intensity	Intensity b5765					Y	
