sample_id	raw_file_name	quant_type	source_column	bait_name	condition	is_control	replicate_group	keep	notes
b14468	b14468.raw	Intensity	Intensity b14468	HINT2	81033PEI	N	HINT2__81033PEI	Y	platewell=G03; replicate=B
b14472	b14472.raw	Intensity	Intensity b14472	AVPI1	81033PEI	N	AVPI1__81033PEI	Y	platewell=H02; replicate=A
b14473	b14473.raw	Intensity	Intensity b14473	NUDT10	81033PEI	N	NUDT10__81033PEI	Y	platewell=H03; replicate=A
b14475	b14475.raw	Intensity	Intensity b14475	SRSF2	81033PEI	N	SRSF2__81033PEI	Y	platewell=H05; replicate=A
b14476	b14476.raw	Intensity	Intensity b14476	TTC9C	81033PEI	N	TTC9C__81033PEI	Y	platewell=H06; replicate=A
b14477	b14477.raw	Intensity	Intensity b14477	MGST2	81033PEI	N	MGST2__81033PEI	Y	platewell=H07; replicate=A
b14478	b14478.raw	Intensity	Intensity b14478	RNASEH2C	81033PEI	N	RNASEH2C__81033PEI	Y	platewell=H08; replicate=A
b14479	b14479.raw	Intensity	Intensity b14479	CALCA	81033PEI	N	CALCA__81033PEI	Y	platewell=H09; replicate=A
b14480	b14480.raw	Intensity	Intensity b14480	GIP	81033PEI	N	GIP__81033PEI	Y	platewell=H10; replicate=A
b14481	b14481.raw	Intensity	Intensity b14481	DLX6	81033PEI	N	DLX6__81033PEI	Y	platewell=H11; replicate=A
b14518	b14518.raw	Intensity	Intensity b14518	DLX6	81033PEI	N	DLX6__81033PEI	Y	platewell=H11; replicate=B
b14519	b14519.raw	Intensity	Intensity b14519	GIP	81033PEI	N	GIP__81033PEI	Y	platewell=H10; replicate=B
b14521	b14521.raw	Intensity	Intensity b14521	RNASEH2C	81033PEI	N	RNASEH2C__81033PEI	Y	platewell=H08; replicate=B
b14522	b14522.raw	Intensity	Intensity b14522	MGST2	81033PEI	N	MGST2__81033PEI	Y	platewell=H07; replicate=B
b14523	b14523.raw	Intensity	Intensity b14523	TTC9C	81033PEI	N	TTC9C__81033PEI	Y	platewell=H06; replicate=B
b14524	b14524.raw	Intensity	Intensity b14524	SRSF2	81033PEI	N	SRSF2__81033PEI	Y	platewell=H05; replicate=B
b14526	b14526.raw	Intensity	Intensity b14526	NUDT10	81033PEI	N	NUDT10__81033PEI	Y	platewell=H03; replicate=B
b15935	b15935.raw	Intensity	Intensity b15935	SEP15	81002	N	SEP15__81002	Y	platewell=A07; replicate=D
b15939	b15939.raw	Intensity	Intensity b15939	C16orf74	81002	N	C16orf74__81002	Y	platewell=C01; replicate=D
b18290	b18290.raw	Intensity	Intensity b18290	SREBF2	OC2116	N	SREBF2__OC2116	Y	platewell=A02; replicate=A
b18291	b18291.raw	Intensity	Intensity b18291	PICK1	OC2116	N	PICK1__OC2116	Y	platewell=A03; replicate=A
b18293	b18293.raw	Intensity	Intensity b18293	SHOX	OC2116	N	SHOX__OC2116	Y	platewell=A06; replicate=A
b18294	b18294.raw	Intensity	Intensity b18294	STRA8	OC2116	N	STRA8__OC2116	Y	platewell=A07; replicate=A
b18295	b18295.raw	Intensity	Intensity b18295	CARD16	OC2116	N	CARD16__OC2116	Y	platewell=A10; replicate=A
b18299	b18299.raw	Intensity	Intensity b18299	SLC5A1	OC2116	N	SLC5A1__OC2116	Y	platewell=B01; replicate=A
b18302	b18302.raw	Intensity	Intensity b18302	DEFB109	OC2116	N	DEFB109__OC2116	Y	platewell=B04; replicate=A
b18303	b18303.raw	Intensity	Intensity b18303	SPANXN2	OC2116	N	SPANXN2__OC2116	Y	platewell=B07; replicate=A
b18304	b18304.raw	Intensity	Intensity b18304	DEFB112	OC2116	N	DEFB112__OC2116	Y	platewell=B09; replicate=A
b18305	b18305.raw	Intensity	Intensity b18305	PREX2	OC2116	N	PREX2__OC2116	Y	platewell=B10; replicate=A
b18306	b18306.raw	Intensity	Intensity b18306	CAPN12	OC2116	N	CAPN12__OC2116	Y	platewell=B12; replicate=A
b18309	b18309.raw	Intensity	Intensity b18309	UBE2L3	OC2116	N	UBE2L3__OC2116	Y	platewell=C01; replicate=A
b18310	b18310.raw	Intensity	Intensity b18310	SNRPD3	OC2116	N	SNRPD3__OC2116	Y	platewell=C02; replicate=A
b18311	b18311.raw	Intensity	Intensity b18311	SEZ6L	OC2116	N	SEZ6L__OC2116	Y	platewell=C03; replicate=A
b18312	b18312.raw	Intensity	Intensity b18312	FAM150B	OC2116	N	FAM150B__OC2116	Y	platewell=C04; replicate=A
b18313	b18313.raw	Intensity	Intensity b18313	ESCO2	OC2116	N	ESCO2__OC2116	Y	platewell=C05; replicate=A
b18314	b18314.raw	Intensity	Intensity b18314	IGFBPL1	OC2116	N	IGFBPL1__OC2116	Y	platewell=C06; replicate=A
b18315	b18315.raw	Intensity	Intensity b18315	HSF4	OC2116	N	HSF4__OC2116	Y	platewell=C07; replicate=A
b18317	b18317.raw	Intensity	Intensity b18317	CLCA1	OC2116	N	CLCA1__OC2116	Y	platewell=C09; replicate=A
b18319	b18319.raw	Intensity	Intensity b18319	FOLR3	OC2116	N	FOLR3__OC2116	Y	platewell=C12; replicate=A
b18369	b18369.raw	Intensity	Intensity b18369	PLA2G6	OC2116	N	PLA2G6__OC2116	Y	platewell=D01; replicate=A
b18370	b18370.raw	Intensity	Intensity b18370	AP1B1	OC2116	N	AP1B1__OC2116	Y	platewell=D02; replicate=A
b18371	b18371.raw	Intensity	Intensity b18371	TST	OC2116	N	TST__OC2116	Y	platewell=D03; replicate=A
b18372	b18372.raw	Intensity	Intensity b18372	ENPP3	OC2116	N	ENPP3__OC2116	Y	platewell=D04; replicate=A
b18373	b18373.raw	Intensity	Intensity b18373	SPRR2D	OC2116	N	SPRR2D__OC2116	Y	platewell=D05; replicate=A
b18374	b18374.raw	Intensity	Intensity b18374	AWAT2	OC2116	N	AWAT2__OC2116	Y	platewell=D06; replicate=A
b18375	b18375.raw	Intensity	Intensity b18375	GPR151	OC2116	N	GPR151__OC2116	Y	platewell=D07; replicate=A
b18377	b18377.raw	Intensity	Intensity b18377	HOXA7	OC2116	N	HOXA7__OC2116	Y	platewell=D11; replicate=A
b18378	b18378.raw	Intensity	Intensity b18378	XKRY2	OC2116	N	XKRY2__OC2116	Y	platewell=D12; replicate=A
b18381	b18381.raw	Intensity	Intensity b18381	YWHAH	OC2116	N	YWHAH__OC2116	Y	platewell=E02; replicate=A
b18383	b18383.raw	Intensity	Intensity b18383	CDCP2	OC2116	N	CDCP2__OC2116	Y	platewell=E04; replicate=A
b18384	b18384.raw	Intensity	Intensity b18384	SLC5A4	OC2116	N	SLC5A4__OC2116	Y	platewell=E05; replicate=A
b18386	b18386.raw	Intensity	Intensity b18386	GUCA2A	OC2116	N	GUCA2A__OC2116	Y	platewell=E07; replicate=A
b18387	b18387.raw	Intensity	Intensity b18387	PROL1	OC2116	N	PROL1__OC2116	Y	platewell=E08; replicate=A
b18389	b18389.raw	Intensity	Intensity b18389	GJA10	OC2116	N	GJA10__OC2116	Y	platewell=E10; replicate=A
b18390	b18390.raw	Intensity	Intensity b18390	TAS1R2	OC2116	N	TAS1R2__OC2116	Y	platewell=E12; replicate=A
b18394	b18394.raw	Intensity	Intensity b18394	RFPL1	OC2116	N	RFPL1__OC2116	Y	platewell=F02; replicate=A
b18396	b18396.raw	Intensity	Intensity b18396	CNGA1	OC2116	N	CNGA1__OC2116	Y	platewell=F07; replicate=A
b18397	b18397.raw	Intensity	Intensity b18397	LIFR	OC2116	N	LIFR__OC2116	Y	platewell=F08; replicate=A
b18404	b18404.raw	Intensity	Intensity b18404	CUX2	OC2116	N	CUX2__OC2116	Y	platewell=G03; replicate=A
b18405	b18405.raw	Intensity	Intensity b18405	MYEOV2	OC2116	N	MYEOV2__OC2116	Y	platewell=G05; replicate=A
b18406	b18406.raw	Intensity	Intensity b18406	SSX7	OC2116	N	SSX7__OC2116	Y	platewell=G06; replicate=A
b18407	b18407.raw	Intensity	Intensity b18407	SPINK14	OC2116	N	SPINK14__OC2116	Y	platewell=G07; replicate=A
b18409	b18409.raw	Intensity	Intensity b18409	NLRP5	OC2116	N	NLRP5__OC2116	Y	platewell=G11; replicate=A
b18414	b18414.raw	Intensity	Intensity b18414	OR4N2	OC2116	N	OR4N2__OC2116	Y	platewell=H03; replicate=A
b18415	b18415.raw	Intensity	Intensity b18415	VPS9D1	OC2116	N	VPS9D1__OC2116	Y	platewell=H04; replicate=A
b18416	b18416.raw	Intensity	Intensity b18416	UGT1A5	OC2116	N	UGT1A5__OC2116	Y	platewell=H06; replicate=A
b18418	b18418.raw	Intensity	Intensity b18418	OR4E2	OC2116	N	OR4E2__OC2116	Y	platewell=H08; replicate=A
b18419	b18419.raw	Intensity	Intensity b18419	B3GNT7	OC2116	N	B3GNT7__OC2116	Y	platewell=H09; replicate=A
b18420	b18420.raw	Intensity	Intensity b18420	GALP	OC2116	N	GALP__OC2116	Y	platewell=H10; replicate=A
b18564	b18564.raw	Intensity	Intensity b18564	FAM178A	OC2119	N	FAM178A__OC2119	Y	platewell=A02; replicate=A
b18565	b18565.raw	Intensity	Intensity b18565	LPIN2	OC2119	N	LPIN2__OC2119	Y	platewell=A03; replicate=A
b18566	b18566.raw	Intensity	Intensity b18566	ZFP1	OC2119	N	ZFP1__OC2119	Y	platewell=A04; replicate=A
b18567	b18567.raw	Intensity	Intensity b18567	HOXA4	OC2119	N	HOXA4__OC2119	Y	platewell=A05; replicate=A
b18568	b18568.raw	Intensity	Intensity b18568	GLCE	OC2119	N	GLCE__OC2119	Y	platewell=A06; replicate=A
b18576	b18576.raw	Intensity	Intensity b18576	CRISP1	OC2119	N	CRISP1__OC2119	Y	platewell=A09; replicate=C
b18577	b18577.raw	Intensity	Intensity b18577	SPAG11B	OC2119	N	SPAG11B__OC2119	Y	platewell=A10; replicate=C
b18578	b18578.raw	Intensity	Intensity b18578	DCDC1	OC2119	N	DCDC1__OC2119	Y	platewell=A11; replicate=A
b18595	b18595.raw	Intensity	Intensity b18595	TEX13B	OC2119	N	TEX13B__OC2119	Y	platewell=B05; replicate=A
b18596	b18596.raw	Intensity	Intensity b18596	TTC39A	OC2119	N	TTC39A__OC2119	Y	platewell=B06; replicate=A
b18597	b18597.raw	Intensity	Intensity b18597	CRLF2	OC2119	N	CRLF2__OC2119	Y	platewell=B07; replicate=A
b18598	b18598.raw	Intensity	Intensity b18598	MATN1	OC2119	N	MATN1__OC2119	Y	platewell=B08; replicate=A
b18600	b18600.raw	Intensity	Intensity b18600	FBXW9	OC2119	N	FBXW9__OC2119	Y	platewell=B11; replicate=A
b18601	b18601.raw	Intensity	Intensity b18601	BMP6	OC2119	N	BMP6__OC2119	Y	platewell=B12; replicate=A
b18640	b18640.raw	Intensity	Intensity b18640	SLC45A4	OC2119	N	SLC45A4__OC2119	Y	platewell=C01; replicate=A
b18641	b18641.raw	Intensity	Intensity b18641	LEPR	OC2119	N	LEPR__OC2119	Y	platewell=C02; replicate=A
b18642	b18642.raw	Intensity	Intensity b18642	EIF2C4	OC2119	N	EIF2C4__OC2119	Y	platewell=C03; replicate=A
