idRun	idBait	sample_id	replicate_group	replicate_letter	raw_file_name
b18415	VPS9D1	b18415	VPS9D1	A	b18415.raw
b18416	UGT1A5	b18416	UGT1A5	A	b18416.raw
b18418	OR4E2	b18418	OR4E2	A	b18418.raw
b18419	B3GNT7	b18419	B3GNT7	A	b18419.raw
b18420	GALP	b18420	GALP	A	b18420.raw
b18564	FAM178A	b18564	FAM178A	A	b18564.raw
b18565	LPIN2	b18565	LPIN2	A	b18565.raw
b18566	ZFP1	b18566	ZFP1	A	b18566.raw
b18567	HOXA4	b18567	HOXA4	A	b18567.raw
b18568	GLCE	b18568	GLCE	A	b18568.raw
b18576	CRISP1	b18576	CRISP1	C	b18576.raw
b18577	SPAG11B	b18577	SPAG11B	C	b18577.raw
b18578	DCDC1	b18578	DCDC1	A	b18578.raw
b18595	TEX13B	b18595	TEX13B	A	b18595.raw
b18596	TTC39A	b18596	TTC39A	A	b18596.raw
b18597	CRLF2	b18597	CRLF2	A	b18597.raw
b18598	MATN1	b18598	MATN1	A	b18598.raw
b18600	FBXW9	b18600	FBXW9	A	b18600.raw
b18601	BMP6	b18601	BMP6	A	b18601.raw
b18640	SLC45A4	b18640	SLC45A4	A	b18640.raw
b18641	LEPR	b18641	LEPR	A	b18641.raw
b18642	EIF2C4	b18642	EIF2C4	A	b18642.raw
b18643	C1QL3	b18643	C1QL3	A	b18643.raw
b18644	ZFP42	b18644	ZFP42	A	b18644.raw
b18645	KLRC3	b18645	KLRC3	A	b18645.raw
b18647	ANKS4B	b18647	ANKS4B	A	b18647.raw
b18649	LHB	b18649	LHB	A	b18649.raw
b18652	EXOC6B	b18652	EXOC6B	A	b18652.raw
b18653	KIAA0226	b18653	KIAA0226	A	b18653.raw
b18654	RUNX2	b18654	RUNX2	A	b18654.raw
b18655	TCF15	b18655	TCF15	A	b18655.raw
b18656	ZNF492	b18656	ZNF492	A	b18656.raw
b18657	AS3MT	b18657	AS3MT	A	b18657.raw
b18658	HPR	b18658	HPR	A	b18658.raw
b18659	LBX2	b18659	LBX2	A	b18659.raw
b18660	TAS2R39	b18660	TAS2R39	A	b18660.raw
b18662	C16orf55	b18662	C16orf55	A	b18662.raw
b18665	GBX1	b18665	GBX1	A	b18665.raw
b18666	PRKD1	b18666	PRKD1	A	b18666.raw
b18671	PKMYT1	b18671	PKMYT1	A	b18671.raw
b18672	TAL1	b18672	TAL1	A	b18672.raw
b18673	CCNO	b18673	CCNO	A	b18673.raw
b18674	TSHZ2	b18674	TSHZ2	A	b18674.raw
b18675	NPVF	b18675	NPVF	A	b18675.raw
b18676	NAA11	b18676	NAA11	A	b18676.raw
b18677	UBXN7	b18677	UBXN7	A	b18677.raw
b18678	FMNL3	b18678	FMNL3	A	b18678.raw
b18696	ERCC4	b18696	ERCC4	A	b18696.raw
B20854	KRT34	B20854	KRT34	A	B20854.raw
B20855	TSPAN10	B20855	TSPAN10	A	B20855.raw
B20857	RPEL1	B20857	RPEL1	A	B20857.raw
B20859	CCT8L2	B20859	CCT8L2	A	B20859.raw
B20860	BANF2	B20860	BANF2	A	B20860.raw
B20861	GPR160	B20861	GPR160	A	B20861.raw
B20862	KCNIP1	B20862	KCNIP1	A	B20862.raw
B20865	PRKY	B20865	PRKY	A	B20865.raw
B20866	STARD5	B20866	STARD5	A	B20866.raw
B20869	LHFPL1	B20869	LHFPL1	A	B20869.raw
B20870	OR52B2	B20870	OR52B2	A	B20870.raw
B20871	PRR4	B20871	PRR4	A	B20871.raw
