sample_id	raw_file_name	plate	well	replicate_letter	ip_name	bait_name	replicate_group	keep
j10388	j10388.raw	81094	A07	A	j10388	THUMPD3	THUMPD3	Y
j10389	j10389.raw	81094	A08	A	j10389	CHD2	CHD2	Y
j10390	j10390.raw	81094	A09	A	j10390	GDF5	GDF5	Y
j10391	j10391.raw	81094	A10	A	j10391	RFTN2	RFTN2	Y
j10392	j10392.raw	81094	A11	A	j10392	CYP2A7	CYP2A7	Y
j10393	j10393.raw	81094	A12	A	j10393	ZSCAN22	ZSCAN22	Y
j10396	j10396.raw	81094	B01	A	j10396	CYP3A5	CYP3A5	Y
j10397	j10397.raw	81094	B03	A	j10397	PDHX	PDHX	Y
j10398	j10398.raw	81094	B04	A	j10398	SHMT2	SHMT2	Y
j10399	j10399.raw	81094	B06	A	j10399	SLC24A5	SLC24A5	Y
j10400	j10400.raw	81094	B07	A	j10400	NF2	NF2	Y
j10401	j10401.raw	81094	B08	A	j10401	TFCP2	TFCP2	Y
j10402	j10402.raw	81094	B09	A	j10402	C10orf2	C10orf2	Y
j10403	j10403.raw	81094	B11	A	j10403	HHAT	HHAT	Y
j10404	j10404.raw	81094	B12	A	j10404	SMYD1	SMYD1	Y
j10407	j10407.raw	81094	F01	A	j10407	ALDH1L1	ALDH1L1	Y
j10408	j10408.raw	81094	F02	A	j10408	KLHL29	KLHL29	Y
j10409	j10409.raw	81094	F03	A	j10409	PSMD5	PSMD5	Y
j10410	j10410.raw	81094	F04	A	j10410	WASL	WASL	Y
j10411	j10411.raw	81094	F05	A	j10411	SLC2A6	SLC2A6	Y
j10412	j10412.raw	81094	F07	A	j10412	CDC20	CDC20	Y
j10413	j10413.raw	81094	F08	A	j10413	HARS2	HARS2	Y
j10414	j10414.raw	81094	F09	A	j10414	AMIGO3	AMIGO3	Y
j10419	j10419.raw	81094	G02	A	j10419	KCNJ3	KCNJ3	Y
j10420	j10420.raw	81094	G03	A	j10420	ACCS	ACCS	Y
j10421	j10421.raw	81094	G05	A	j10421	ACVRL1	ACVRL1	Y
j10422	j10422.raw	81094	G06	A	j10422	ANXA11	ANXA11	Y
j10423	j10423.raw	81094	G07	A	j10423	CLCC1	CLCC1	Y
j10424	j10424.raw	81094	G08	A	j10424	CYP2E1	CYP2E1	Y
j10425	j10425.raw	81094	G09	A	j10425	FMN1	FMN1	Y
j10426	j10426.raw	81094	G10	A	j10426	OXA1L	OXA1L	Y
j10427	j10427.raw	81094	G11	A	j10427	TXNRD2	TXNRD2	Y
j10431	j10431.raw	81094	E12	B	j10431	PRKAG3	PRKAG3	Y
j10432	j10432.raw	81094	E11	B	j10432	ZNF517	ZNF517	Y
j10433	j10433.raw	81094	E10	B	j10433	LIPC	LIPC	Y
j10434	j10434.raw	81094	E09	B	j10434	TTC7A	TTC7A	Y
j10435	j10435.raw	81094	E08	B	j10435	FAM114A2	FAM114A2	Y
j10436	j10436.raw	81094	E07	B	j10436	ZSCAN5A	ZSCAN5A	Y
j10437	j10437.raw	81094	E06	B	j10437	CAMKV	CAMKV	Y
j10438	j10438.raw	81094	E05	B	j10438	AGXT2L1	AGXT2L1	Y
j10439	j10439.raw	81094	E04	B	j10439	LIPG	LIPG	Y
j10440	j10440.raw	81094	E02	B	j10440	EPB41L5	EPB41L5	Y
j10441	j10441.raw	81094	E01	B	j10441	ZC3HC1	ZC3HC1	Y
j10445	j10445.raw	81094	H07	B	j10445	SLC2A5	SLC2A5	Y
j10447	j10447.raw	81094	H05	B	j10447	CCDC88C	CCDC88C	Y
j10448	j10448.raw	81094	H04	B	j10448	TEKT3	TEKT3	Y
j10449	j10449.raw	81094	H03	B	j10449	PNPLA2	PNPLA2	Y
j10450	j10450.raw	81094	H02	B	j10450	CYP2S1	CYP2S1	Y
j10488	j10488.raw	81094	H10	B	j10488	NEU4	NEU4	Y
j10489	j10489.raw	81094	H09	B	j10489	UBAP1	UBAP1	Y
j10538	j10538.raw	81110	B12	B	j10538	PLK1S1	PLK1S1	Y
j10539	j10539.raw	81110	B11	B	j10539	PRDM1	PRDM1	Y
j10540	j10540.raw	81110	B10	B	j10540	FANCM	FANCM	Y
j10541	j10541.raw	81110	B08	B	j10541	DPYSL3	DPYSL3	Y
j10542	j10542.raw	81110	B07	B	j10542	LZTS2	LZTS2	Y
j10543	j10543.raw	81110	B06	B	j10543	BMX	BMX	Y
j10544	j10544.raw	81110	B05	B	j10544	KIF2B	KIF2B	Y
j10545	j10545.raw	81110	B04	B	j10545	ACSBG2	ACSBG2	Y
j10546	j10546.raw	81110	B02	B	j10546	NCSTN	NCSTN	Y
